,Sentences,Date_1,Words,Date_2,Numbers,Date_3
0,[ Moby Dick by Herman Melville 1851 ],jun 26 2003,affectionately,sunday august 31 2008,6141,sunday june 21 1998
1,ETYMOLOGY .,18 sep 1994,Madam,4 nov 1999,-5205,tuesday june 5 2007
2,( Supplied by a Late Consumptive Usher to a Grammar School ),4 january 1983,",",15 november 1988,-2748,monday november 19 1984
3,"The pale Usher -- threadbare in coat , heart , body , and brain ; I see him now .",wednesday february 13 1991,ornament,thursday march 24 1983,2114,saturday july 15 2000
4,"He was ever dusting his old lexicons and grammars , with a queer handkerchief , mockingly embellished with all the gay flags of all the known nations of the world .",thursday august 21 2003,taxed,10 august 1985,5809,wednesday december 3 2014
5,He loved to dust his old grammars ; it somehow mildly reminded him of his mortality .,1 jun 1984,fearful,tuesday september 27 1977,386,thursday march 31 1983
6,""" While you take in hand to school others , and to teach them by what name a whale - fish is to be called in our tongue leaving out , through ignorance , the letter H , which almost alone maketh the signification of the word , you deliver that which is not true .""",monday june 5 2017,41,thursday december 11 1980,-892,thursday february 11 1988
7,-- HACKLUYT,wednesday january 21 2004,producing,may 11 1985,-7828,wednesday january 26 1983
8,""" WHALE .",4 apr 1974,despising,monday august 18 1997,6993,tuesday december 27 1994
9,... Sw . and Dan .,sunday december 12 1976,hysterical,tuesday may 10 1994,-5042,26.10.74
10,HVAL .,20 november 2000,exclamation,monday april 17 1989,981,monday june 16 2008
11,This animal is named from roundness or rolling ; for in Dan .,june 20 1972,dark,2/5/94,-2796,may 30 2010
12,"HVALT is arched or vaulted .""",3 aug 1997,disputes,tuesday june 20 2017,-5353,19 april 2009
13,-- WEBSTER ' S DICTIONARY,8 june 1990,hurried,july 23 1973,-9093,23 april 1985
14,""" WHALE .",october 26 2006,>,sunday january 31 1999,-7248,12 may 2020
15,...,27 march 1996,provoke,tuesday august 30 1983,1617,15 apr 1971
16,It is more immediately from the Dut .,26 jan 2005,bide,11 october 1975,4558,may 6 1983
17,and Ger .,november 27 2002,Mansion,tuesday september 21 1993,7557,saturday october 7 1995
18,"WALLEN ; A . S . WALW - IAN , to roll , to wallow .""",sunday december 8 2002,released,september 24 2002,7343,march 14 2006
19,-- RICHARDSON ' S DICTIONARY,wednesday august 1 1984,happens,30 jan 1984,-7710,wednesday september 5 1973
20,"KETOS , GREEK .",wednesday january 2 2013,sad,21.09.97,7879,4 jul 1996
21,"CETUS , LATIN .",22 04 04,poverty,tuesday march 4 1997,3186,monday december 3 2012
22,"WHOEL , ANGLO - SAXON .",friday august 25 2006,EDWARD,november 17 1986,1685,24 oct 2019
23,"HVALT , DANISH .",sunday june 21 1998,timber,friday january 20 1995,-7232,19 08 08
24,"WAL , DUTCH .",july 30 2004,ennui,25 nov 1987,-372,wednesday may 19 1982
25,"HWAL , SWEDISH .",saturday april 17 1999,neighbouring,wednesday february 1 2012,7237,thursday july 2 1992
26,"WHALE , ICELANDIC .",sunday march 20 1983,second,saturday september 8 1984,323,tuesday march 12 2013
27,"WHALE , ENGLISH .",10 nov 1996,punctual,14 july 2017,-5440,april 16 1977
28,"BALEINE , FRENCH .",thursday august 15 1974,favour,friday february 8 1991,-1074,5/10/95
29,"BALLENA , SPANISH .",monday may 2 2005,court,09 apr 1988,6089,monday january 30 1984
30,"PEKEE - NUEE - NUEE , FEGEE .",monday december 28 1970,internally,may 20 2001,7537,13 jul 1975
31,"PEKEE - NUEE - NUEE , ERROMANGOAN .",saturday august 19 1995,parting,friday october 30 1992,2351,tuesday january 29 2002
32,EXTRACTS ( Supplied by a Sub - Sub - Librarian ).,sunday june 5 2005,Betty,3/8/03,-8015,wednesday june 24 2009
33,"It will be seen that this mere painstaking burrower and grub - worm of a poor devil of a Sub - Sub appears to have gone through the long Vaticans and street - stalls of the earth , picking up whatever random allusions to whales he could anyways find in any book whatsoever , sacred or profane .",wednesday june 23 1971,at,monday september 2 2013,-279,saturday december 8 2001
34,"Therefore you must not , in every case at least , take the higgledy - piggledy whale statements , however authentic , in these extracts , for veritable gospel cetology .",july 15 1984,inheritor,14 november 1995,-6951,15 aug 1997
35,Far from it .,friday october 2 2015,joyfully,monday january 23 1984,-5233,16 may 1985
36,"As touching the ancient authors generally , as well as the poets here appearing , these extracts are solely valuable or entertaining , as affording a glancing bird ' s eye view of what has been promiscuously said , thought , fancied , and sung of Leviathan , by many nations and generations , including our own .",12/23/78,avoiding,12 august 2004,6128,monday august 17 2020
37,"So fare thee well , poor devil of a Sub - Sub , whose commentator I am .",28 apr 2012,shan,wednesday january 15 1986,-2619,friday july 19 1985
38,"Thou belongest to that hopeless , sallow tribe which no wine of this world will ever warm ; and for whom even Pale Sherry would be too rosy - strong ; but with whom one sometimes loves to sit , and feel poor - devilish , too ; and grow convivial upon tears ; and say to them bluntly , with full eyes and empty glasses , and in not altogether unpleasant sadness -- Give it up , Sub - Subs !",sunday january 18 1981,footman,saturday january 3 2004,2431,22 apr 1975
39,"For by how much the more pains ye take to please the world , by so much the more shall ye for ever go thankless !",december 1 1978,diabolical,sunday july 10 1994,6639,thursday october 16 2008
40,Would that I could clear out Hampton Court and the Tuileries for ye !,june 9 1995,everybody,saturday june 16 1990,-7266,23 october 1978
41,"But gulp down your tears and hie aloft to the royal - mast with your hearts ; for your friends who have gone before are clearing out the seven - storied heavens , and making refugees of long - pampered Gabriel , Michael , and Raphael , against your coming .",1/15/85,beasts,17 sep 1985,-4055,monday october 5 1981
42,"Here ye strike but splintered hearts together -- there , ye shall strike unsplinterable glasses !",29 05 84,candlelight,saturday may 8 2010,-5352,02.03.98
43,EXTRACTS .,27 dec 1997,envy,sunday february 21 1999,1327,friday may 18 2007
44,""" And God created great whales .""",14 jan 1983,nicest,july 25 1975,1826,12/23/01
45,-- GENESIS .,saturday february 10 1990,saves,sunday november 11 2012,-1318,sunday december 22 2013
46,""" Leviathan maketh a path to shine after him ; One would think the deep to be hoary .""",6 july 2013,youngest,2 april 2001,-3721,monday october 18 1976
47,-- JOB .,nov 5 1988,rendered,january 15 2020,8731,28 11 05
48,""" Now the Lord had prepared a great fish to swallow up Jonah .""",21 02 75,approved,monday july 23 1979,9706,thursday april 19 2012
49,-- JONAH .,march 19 1986,ice,may 11 1971,-9542,sunday april 3 1977
50,""" There go the ships ; there is that Leviathan whom thou hast made to play therein .""",saturday may 25 1991,brother,friday january 25 1980,-8676,friday june 15 2001
51,-- PSALMS .,saturday october 4 1980,specimen,wednesday august 29 2001,-492,june 11 1988
52,""" In that day , the Lord with his sore , and great , and strong sword , shall punish Leviathan the piercing serpent , even Leviathan that crooked serpent ; and he shall slay the dragon that is in the sea .""",wednesday july 24 1974,fright,25.10.79,-4237,10 may 2018
53,-- ISAIAH,wednesday april 28 1982,possibility,thursday august 24 2006,-3085,sunday february 21 2010
54,""" And what thing soever besides cometh within the chaos of this monster ' s mouth , be it beast , boat , or stone , down it goes all incontinently that foul great swallow of his , and perisheth in the bottomless gulf of his paunch .""",25 04 85,flower,15 april 2006,-209,january 26 2015
55,-- HOLLAND ' S PLUTARCH ' S MORALS .,monday march 22 1971,smart,wednesday august 8 2018,993,wednesday january 17 2018
56,""" The Indian Sea breedeth the most and the biggest fishes that are : among which the Whales and Whirlpooles called Balaene , take up as much in length as four acres or arpens of land .""",thursday may 3 1990,magnificent,1 sep 2008,1506,15.08.00
57,-- HOLLAND ' S PLINY .,jan 3 2004,Though,wednesday may 10 1995,-7811,7 09 09
58,""" Scarcely had we proceeded two days on the sea , when about sunrise a great many Whales and other monsters of the sea , appeared .",2 november 2005,restorative,17 jun 1989,-5978,11 dec 2003
59,"Among the former , one was of a most monstrous size .",jul 6 1982,overcoming,september 10 1982,-964,saturday march 20 1971
60,...,5 08 20,proceeded,february 5 1988,5229,21 feb 1986
61,"This came towards us , open - mouthed , raising the waves on all sides , and beating the sea before him into a foam .""",15 may 1999,meditations,10 february 1992,2464,30 october 1991
62,-- TOOKE ' S LUCIAN .,6/6/85,howsever,15 aug 1975,-9150,march 9 1970
63,""" THE TRUE HISTORY .""",21 dec 1976,labor,25 august 1992,9203,saturday march 2 1985
64,""" He visited this country also with a view of catching horse - whales , which had bones of very great value for their teeth , of which he brought some to the king .",09 aug 1982,safety,monday february 20 2017,4680,monday february 4 2013
65,...,2/6/01,25,sunday march 6 1994,4380,thursday october 26 1995
66,"The best whales were catched in his own country , of which some were forty - eight , some fifty yards long .",monday december 16 2019,conditions,31 mar 1976,-8013,friday august 14 1987
67,"He said that he was one of six who had killed sixty in two days .""",1/31/06,minuteness,november 10 1995,-670,april 1 1982
68,"-- OTHER OR OCTHER ' S VERBAL NARRATIVE TAKEN DOWN FROM HIS MOUTH BY KING ALFRED , A . D . 890 .",20 oct 1986,Secrecy,22 jan 2013,-3927,august 22 2017
69,""" And whereas all the other things , whether beast or vessel , that enter into the dreadful gulf of this monster ' s ( whale ' s ) mouth , are immediately lost and swallowed up , the sea - gudgeon retires into it in great security , and there sleeps .""",monday february 25 2008,Thunderbolts,wednesday december 6 2006,6054,19 jul 2010
70,-- MONTAIGNE .,11 11 84,letting,8/8/88,9108,12 october 1978
71,-- APOLOGY FOR RAIMOND SEBOND .,20 june 1972,luckily,3 august 2020,9469,sunday may 16 1971
72,""" Let us fly , let us fly !",tuesday august 9 1983,hospitable,thursday august 24 2006,-3816,9/11/82
73,"Old Nick take me if is not Leviathan described by the noble prophet Moses in the life of patient Job .""",tuesday march 30 1993,entreat,18 april 1985,4301,12 mar 1982
74,-- RABELAIS .,saturday june 10 2017,sail,monday june 7 1993,-4623,sep 1 2019
75,""" This whale ' s liver was two cartloads .""",friday december 21 2001,adapted,friday july 23 1999,-4961,22 09 96
76,-- STOWE ' S ANNALS .,monday october 11 1999,showed,aug 6 2017,-6905,saturday december 2 2006
77,""" The great Leviathan that maketh the seas to seethe like boiling pan .""",wednesday august 24 1977,indication,07.05.11,-5578,friday december 26 2003
78,-- LORD BACON ' S VERSION OF THE PSALMS .,13 july 1983,let,saturday november 27 2004,9996,15 october 2015
79,""" Touching that monstrous bulk of the whale or ork we have received nothing certain .",16 sep 1970,commendation,monday august 17 2009,-6962,26 nov 1987
80,"They grow exceeding fat , insomuch that an incredible quantity of oil will be extracted out of one whale .""",24 june 2005,consequent,wednesday december 13 1978,661,friday july 21 1978
81,-- IBID .,saturday february 19 1994,madness,24 dec 1978,9706,23 jun 1997
82,""" HISTORY OF LIFE AND DEATH .""",september 19 1993,appearing,14.09.71,821,19 jun 2011
83,""" The sovereignest thing on earth is parmacetti for an inward bruise .""",december 28 1981,wild,19 08 11,6777,jan 25 1998
84,-- KING HENRY .,friday august 2 1996,relinquished,9/16/12,-5986,april 29 1998
85,""" Very like a whale .""",sep 29 1992,possess,01.06.78,2254,june 11 1976
86,-- HAMLET .,thursday december 1 1988,His,january 18 2015,-8054,23 oct 2003
87,""" Which to secure , no skill of leach ' s art Mote him availle , but to returne againe To his wound ' s worker , that with lowly dart , Dinting his breast , had bred his restless paine , Like as the wounded whale to shore flies thro ' the maine .""",12 dec 2007,spread,may 7 2014,-7334,31 03 14
88,-- THE FAERIE QUEEN .,15 jul 1985,rheumatic,tuesday july 29 1980,-6423,29 jan 1977
89,""" Immense as whales , the motion of whose vast bodies can in a peaceful calm trouble the ocean til it boil .""",22 apr 2007,history,23 may 2008,4966,june 1 2011
90,-- SIR WILLIAM DAVENANT .,8/24/08,busily,jan 16 2006,-8783,monday september 26 1983
91,PREFACE TO GONDIBERT .,20 apr 1986,comments,monday january 12 1998,7413,april 28 1985
92,""" What spermacetti is , men might justly doubt , since the learned Hosmannus in his work of thirty years , saith plainly , Nescio quid sit .""",saturday february 28 1987,interim,april 18 1970,-480,22 september 1989
93,-- SIR T . BROWNE .,july 30 2002,refused,thursday april 3 1997,-1029,13 oct 2001
94,OF SPERMA CETI AND THE SPERMA CETI WHALE .,sunday may 7 2000,amusements,30 09 91,-9506,23 may 2018
95,VIDE HIS V . E .,monday september 6 1976,significancy,19 march 2009,-1295,3/23/01
96,""" Like Spencer ' s Talus with his modern flail He threatens ruin with his ponderous tail .",monday march 10 1975,sacrificing,23 nov 1984,5226,sunday july 5 1970
97,"... Their fixed jav ' lins in his side he wears , And on his back a grove of pikes appears .""",march 26 2017,doat,24 03 73,-4022,thursday may 21 1970
98,-- WALLER ' S BATTLE OF THE SUMMER ISLANDS .,26 nov 1993,objections,saturday june 29 1991,7421,monday september 24 2001
99,""" By art is created that great Leviathan , called a Commonwealth or State --( in Latin , Civitas ) which is but an artificial man .""",wednesday october 11 2000,withdrawn,friday january 30 1981,6968,28 february 2015
100,-- OPENING SENTENCE OF HOBBES ' S LEVIATHAN .,nov 28 1989,kinder,11 april 1979,-6068,sunday march 31 1974
101,""" Silly Mansoul swallowed it without chewing , as if it had been a sprat in the mouth of a whale .""",sunday march 8 2020,";""--",28 october 2016,3122,thursday september 6 1973
102,-- PILGRIM ' S PROGRESS .,thursday february 5 1970,clear,sunday june 24 2012,3562,saturday july 25 2020
103,""" That sea beast Leviathan , which God of all his works Created hugest that swim the ocean stream .""",saturday november 11 2006,blushed,wednesday july 23 1997,9616,monday july 12 1982
104,-- PARADISE LOST .,31 07 95,matrimony,26 march 2008,1097,tuesday january 31 2012
105,"---"" There Leviathan , Hugest of living creatures , in the deep Stretched like a promontory sleeps or swims , And seems a moving land ; and at his gills Draws in , and at his breath spouts out a sea .""",friday february 8 2002,Exchange,wednesday august 9 2006,728,13 mar 2003
106,-- IBID .,friday february 24 1984,unacknowledged,6 sep 2012,-6136,10/18/79
107,""" The mighty whales which swim in a sea of water , and have a sea of oil swimming in them .""",monday april 18 2011,forbid,25 oct 2013,-2556,august 28 1994
108,-- FULLLER ' S PROFANE AND HOLY STATE .,monday december 2 1991,drops,wednesday march 1 1972,-4572,saturday april 20 1985
109,""" So close behind some promontory lie The huge Leviathan to attend their prey , And give no chance , but swallow in the fry , Which through their gaping jaws mistake the way .""",14 nov 1992,--(,monday june 12 2017,-5662,monday december 6 1971
110,-- DRYDEN ' S ANNUS MIRABILIS .,tuesday april 26 1994,regret,15 january 1985,5519,monday april 9 2018
111,""" While the whale is floating at the stern of the ship , they cut off his head , and tow it with a boat as near the shore as it will come ; but it will be aground in twelve or thirteen feet water .""",27.11.95,affront,saturday april 19 1980,-9602,27 12 85
112,"-- THOMAS EDGE ' S TEN VOYAGES TO SPITZBERGEN , IN PURCHAS .",4 january 2019,formally,thursday october 30 1986,-8980,feb 9 1981
113,""" In their way they saw many whales sporting in the ocean , and in wantonness fuzzing up the water through their pipes and vents , which nature has placed on their shoulders .""",21 may 1978,talked,tuesday april 24 2001,-2028,friday october 1 1993
114,-- SIR T . HERBERT ' S VOYAGES INTO ASIA AND AFRICA .,28 jul 1998,unpleasantness,wednesday april 1 1981,-4495,sunday october 9 1994
115,HARRIS COLL .,sunday august 20 2006,family,11 apr 1986,1613,jun 18 2014
116,""" Here they saw such huge troops of whales , that they were forced to proceed with a great deal of caution for fear they should run their ship upon them .""",may 12 1988,purchase,thursday april 20 1995,2976,december 31 2006
117,-- SCHOUTEN ' S SIXTH CIRCUMNAVIGATION .,8 december 1994,Ay,28 january 2012,-7932,monday december 19 2011
118,""" We set sail from the Elbe , wind N . E .",11 nov 2016,further,may 8 2007,-6529,wednesday november 26 2014
119,in the ship called The Jonas - in - the - Whale .,friday october 10 2003,cheerful,06 sep 1970,2004,2 april 1970
120,...,apr 22 2017,run,9 march 2013,-8643,wednesday january 22 1986
121,"Some say the whale can ' t open his mouth , but that is a fable .",06 sep 2009,OWN,17.04.75,9430,august 1 2014
122,...,1 february 2000,flowed,friday august 3 1984,6760,25.01.09
123,"They frequently climb up the masts to see whether they can see a whale , for the first discoverer has a ducat for his pains .",sunday november 11 2012,seem,13 jan 2016,-2423,30 january 1994
124,...,november 3 2014,against,11 sep 1971,-6735,may 6 1989
125,"I was told of a whale taken near Shetland , that had above a barrel of herrings in his belly .",wednesday august 9 1978,Ma,saturday december 25 2010,6264,6 march 2016
126,"... One of our harpooneers told me that he caught once a whale in Spitzbergen that was white all over .""",28 mar 1970,preserver,tuesday november 19 1974,-6483,12/6/80
127,"-- A VOYAGE TO GREENLAND , A . D . 1671 HARRIS COLL .",tuesday november 15 2005,vindication,saturday april 14 1973,-2122,25 jun 1995
128,""" Several whales have come in upon this coast ( Fife ) Anno 1652 , one eighty feet in length of the whale - bone kind came in , which ( as I was informed ), besides a vast quantity of oil , did afford 500 weight of baleen .",27 march 1993,detected,tuesday may 2 1972,-6872,friday february 17 1995
129,"The jaws of it stand for a gate in the garden of Pitferren .""",tuesday july 24 2012,companionableness,saturday july 15 1972,-657,august 6 1998
